title,category,spec,price
Black HIPS Regrind,HIPS Scrap,"Purity==91- 100%,Usage/ Application==Reprocessing Granules,Feature==Washed,Scrap Source==Industrial Defect,Size (mm/ cm)==3 mm,Thickness (mm/ cm)==5 -5 mm,Waste Type==Plastic WASTE,1000==100000,Country of Origin==Made in India,Processed Scrap Form==Regrind,Color==Black",40
Toughened Safety Glass,"Toughened Glass,Toughened Safety Glass","Thickness==4 mm,Color==Natural,Glass Type==Plain Glass,Brand==Saint Gobain,Brand Name==Saint gobain,Material==Glass,Crack Proof==yes,Scratch-Resistant==Yes",250
Heavy Vehicle 100ml LA86 Silicone Oil,Silicon Oil,"Viscosity Grade==CST 1000,Usage/Application==Treadmill\, Automotive\, Aerospace\, Laboratory Oil Bath\, Sewing Machine,Vehicle Type==Heavy Vehicle,Composition==Base Oil,Form==Liquid,Purity==100%,Flash Point==300 Degree,Shelf Life==5 Year,Brand==LA86",
"Laminated Glass Wool, Thickness: 20-40 mm, Size: Roll",Glass Wool,"Thickness==20-40 mm,Size==Roll,Shape==Rolls,Color==Yellow,Max Temperature Resistance==0-200 degree Celsius,Country of Origin==Made in India",175
Black Second Grinded HIPS Scrap,HIPS Scrap,"Purity==91- 100%,Usage/ Application==Cosmetics Package Manufacturing,Feature==Unwashed,Scrap Source==HIPS Seeding Tray,Waste Type==Plastic,Processed Scrap Form==Second Grinded,Color==Black",40
"U P Twiga Fibreglass Insulation, Thickness: 60 mm",Glass Wool,"Pipe Diameter==50 mm,Max Withstanding Temperature==150 - 200,Nominal Density==16 \, 24\, 32\, 48 Kgm3,Shape==Rolls,Industry Type==Industrial,Color==Yellow,Max Temperature Resistance==200 degree Celsius,Max Temperature Resistance==400 degree Celsius,Usage/Application==ACOUSTICS CEILING & PARTITION,Material==HEAT REDUCING PRODUCT,Brand==U P TWIGA PVT LTD,Country of Origin==Made in India,Thickness==60 mm",120
"White 24 Inch Fiberglass Chopped Strand, For Concrete",Fiberglass Chopped Strand,"Thickness==12mm,Pattern==Plain,Length of Strands==24 Inch,Color==White,Usage/Application==Concrete,Material==Fiberglass",70
"SS Juice Counter, For Street Food Stall",Juice Counter,"Usage/Application==Street Food Stall,Height==5-6 Feet,Length==4-5 Feet,Top Workbench==Stainless Steel,Surface Treatment==Polished,Brand==SBE",30000
Stainless Steel Silver Lime Juice Counter,Juice Counter,"Color==Silver,Height==3.5-4.5 Feet,Length==3-4 Feet,Breadth==1.5-2.5 Feet,Material==Stainless Steel",
"Stainless Steel silver SS Juice Counter, For Commercial","Juice Counter,Service Counter","Material==Stainless Steel,Usage/Application==commercial,Color==silver,Height==6-7 Feet,Surface Treatment==Polished,No of Door==2 Door",
"Stainless Steel Normal Ss Food Counter, For Bakery","Food Cart,SS Display Counter,Stainless Steel Food Cart","Counter Shape==Curved,No. Of Shelves==1 Shelf,Height==6 Feet,Material==Stainless Steel,Usage/Application==Bakery",95000
"Stainless Steel Silver SS Juice Counter, For Hotel",Juice Counter,"Material==Stainless Steel,Usage/Application==Hotel,Color==Silver,Height==4 feet,Country of Origin==Made in India",24500
Single Phase Horizontal 1hp openwell submersible casting body,"Open Well Submersible Pump,Horizontal Submersible Pump","Motor Phase==Single Phase,Motor Phase/Stage==Single Phase,Type==Horizontal",8000
"Maverick Commercial Air Curtain, 68 db, 20-22 m/s",Air Curtain,"Noise Level==68 db,Air Velocity==20-22 m/s,Door Size==upto 4ft,Mounting==Wall Mount,Color==White,Motor Power==2800rpm,Effective Hight==7to9ft,Phase==single,Brand==Maverick",7500
"SS/MS Material Parallel Keys, For Industrial",Parallel Keys,"Size==ALL SIZE,Material==SS/MS,Usage/Application==Industrial,Packaging Type==BOX,Quantity Per Pack==AS PER REQUIREMENT",7
"Four-Wheel Stainless Steel Super Market Trolley, For Shopping In Supermarkets","Shopping Trolley,Stainless Steel Trolley","Wheel==Four-Wheel,Material==Stainless Steel,Usage/Application==Shopping in Supermarkets,Type==Shopping Trolley,Brand==Krishna Wire Industries,Loading Capacity==50-100 kg",2600
"Transparent Toughened Glasses, Size: 101-500 Square Feet, Shape: Flat","Toughened Glass,Plain Glass","Size==101-500 Square Feet,Usage/Application==Partition,Shape==Flat,Glass Type==Plain Glass,Color==Transparent,Thickness==12.0 mm",120
Pallet Racking Slotted Angle Racks Manufacturer In Haryana,"Slotted Angle Racks,Industrial Rack","Load Per Layer==100 Kg,Number of Shelves==5,Product Type==Pallet Racking,Usage/Application==Warehouse,Layers Per Rack==5,Warranty==2 Year",3600
"Mild Steel Industial Storage Racks manufacturer in Haryana, Load per Layer: 400 kg","Slotted Angle Racks,Bulk Storage Racks,Industrial Storage Rack","Load per Layer==400 kg,Number of Shelves==5,Material==Mild Steel,Layers Per Rack==3,Color==red,Is It Portable==yes,Height==2500mm,Movable Shelf==yes,Country of Origin==Made in India",18000
"Multi Stage Pump 5 - 20 HP Submersible Pumps, For Domestic And Agriculture","Borewell Submersible Pump,Borewell Pumps,Domestic Submersible Pump","Power==5 HP,Type==Borewell,Head==15 to 50 m,Brand==Hasthi,Motor Phase==Single Phase,Power Rating==Single Phase and Three Phase,Country of Origin==Made in India,Number Of Stages==Multi Stage Pump,Usage/Application==Domestic and Agriculture",20000
HIPS Black Regrind Scrap,HIPS Scrap,"Purity==91- 100%,Usage/ Application==Reprocessing Granules,Feature==Washed,Scrap Source==Industrial Defect,Waste Type==Plastic,Processed Scrap Form==Regrind",40
Second Grinded Black Hips Scrap Supplier In India,HIPS Scrap,"Purity==91- 100%,Usage/ Application==Cosmetics Package Manufacturing,Feature==Unwashed,Scrap Source==HIPS Seeding Tray,Waste Type==Plastic,Processed Scrap Form==Second Grinded,Color==Black",40
35L LA86 Silicone Oil,Silicon Oil,"Viscosity Grade==CST 1000,Vehicle Type==Heavy Vehicle,Usage/Application==Treadmill\, Automotive\, Aerospace\, Etc,Composition==Base Oil,Type==Silicone Oil,Form==Liquid,Purity==100%,Flash Point==300 Degree,Shelf Life==1 Year,Brand==LA86,Product Packaging Size==35L",200
Hasthi 2 hp Open Well Submersible Pump,Open Well Submersible Pump,"Motor Phase==Single Phase,Discharge Outlet Size==2 inch,Type==Horizontal,Country of Origin==Made in India,Power==2 hp,Brand==Hasthi",11000
Black Tire Crumb Rubber 30 Mesh To 80 Mesh,Crumb Rubber,"Material==Rubber,Color==Black,Size (in Micron)==5 Micron,Packaging Type==Loose,Usage/Application==Shoe Sole,Mesh==10 Mesh,Form==Powder",25
White 18mm DMC Fiberglass Chopped Strand,"Fiberglass Chopped Strand,Chopped Strands","Packaging Type==Loose,Surface==Polished,Usage==Reinforcement For Glass fiber Reinforced Concert,Length of Strands==18mm,Color==White,Material==DMC Fiberglass",70
"Industrial Aircurtain Upto 15ft, 25m/s, Noise Level: <80 dB",Air Curtain,"Noise Level==<80 dB,Curtain Type==industrial,Air Velocity==25m/s,Brand==Maverick",15500
Stainless Steel Cloth Wire Mesh,"Stainless Steel Wire Mesh,Steel Mesh","Material Grade==SS304L,Thickness==20 Gauge (0.88 mm),Opening Size==1/2 Inch,Weave Type==Twill,Hole Shape==Square,Mesh Number Size==201-300,Color==Silver,Usage/Application==Aquaculture Industries",32
Hips Regrind Supplier,HIPS Scrap,"Purity==91- 100%,Usage/ Application==Reprocessing Granules,Feature==Washed,Scrap Source==plastic industry,Waste Type==Plastic,Processed Scrap Form==Regrind",45
"Plastic R1 Submersible Pump Impeller, Packaging Type: Box, Centrifugal",Submersible Pump Impeller,"Diameter==Upto 20 mm,Type==R1,Material==Plastic,Pump Type==Centrifugal,Packaging Type==Box,Shape==Round,Plastic Type==Polycarbonate,Use==Submersible Pump",38
"Off White 42 Inch Fiberglass Chopped Strand, For Filling Material",Fiberglass Chopped Strand,"Thickness==2.5mm,Pattern==Plain,Length of Strands==42 Inch,Color==Off White,Usage/Application==Filling Material,Material==Fiberglass",70
Hips Scrap Regrind,HIPS Scrap,"Purity==91- 100%,Usage/ Application==Reprocessing Granules,Feature==Washed,Scrap Source==HIPS Food Packages,Usage==Plastic scraps and granules,Processed Scrap Form==Regrind",40
Triple Layer Water Tank,"Triple Layered Water Tanks,Water Storage Tanks","Layer==3,Usage/Application==Industrial,Color==White,Manhole Diameter==15.7-18.9 Inches,Height==40.2-78.3 inches",
HIPS TV Case Scrap,"HIPS Scrap,High Impact Polystyrene","Purity==91- 100%,Usage/ Application==Reprocessing Granules,Feature==Washed,Scrap Source==HIPS Food Packages,Size (mm/ cm)==3 mm,Thickness (mm/ cm)==2 mm,Waste Type==Plastic,Country of Origin==Made in India,Processed Scrap Form==Regrind",45
Cast Iron And Rubber Caster Wheel Without Brake,Caster Wheels,"Load Capacity(kg)==450,Load Capacity==80 kg,Usage/Application==Industrial,Size==4 inch,Brand==Starline Industries,Packaging Type==Box,Color==Sky Blue and Silver,Material==Cast Iron and Rubber",450
Thermoplastic Rubber Dana - TPR Dana - Granules - Pellets - TPR Compound,"TPR Granules,Thermoplastic Rubber","Material==TPR Granules - TPR Dana - Thermoplastic Rubber,Packaging Size==25 Kgs,Color==Colors as per requirement,Packaging Type==25 Kgs,Form==Granules - Dana - Pellets,Country of Origin==Made in India,Usage/Application==O Ring\, Sewer Ring\, Automotive Hose\, Toothbrush & Pen Grip\, Shoe Soles etc",145
"Black Slotted Angle Steel Racks, 2x1x5 Feet (lxwxh)","Slotted Angle Racks,Steel Racks","Load Per Layer==100 Kg,Number of Shelves==5,Product Type==Angle Frame,Usage/Application==Supermarket,Size==2x1x5 feet (LxWxH),Product Material==Steel,Product Color==Black",1200
10 ft Aluminium Arch Step Ladder,"Aluminium Ladders,Step Ladders,Aluminium Baby Ladder","Usage/Application==Industrial,Usage/Application==Industrial,Design Type==Step Ladder,Brand==Sunjet,Brand==Sunjet,Number Of Steps==3 Steps,Number Of Steps==3 Steps,Material==Aluminium,Application==Construction,Application==Construction,Height==10 ft,Material==Aluminium,Design Type==Step Ladder",2500
"Wheel Barrow Trolley, Capacity: 200 kg",Wheel Barrow Trolley,"Type==Single Wheel,Usage/Application==Construction,Body Material==MS,Color==Blue,Rust Proof==Yes,Capacity==200 kg",5500
Open Well Submersible Pump,Open Well Submersible Pump,"Motor Phase/Stage==Single Phase,1==2,2==3,3==4,Country of Origin==Made in India",9565
"Pressure Booster Pump, For DOMESTIC","Pressure Booster Pumps,Lubi Pressure Pumps,CRI Horizontal Pumps","Usage/Application==DOMESTIC,Pump Type==HORIZONTAL MULTISTAGE PUMP,Motor Horsepower==1 HP TO 3 HP,Pressure==4-5 kg,Product Type==PRESSURE PUMP,Power Source==Electric,Material==Stainless Steel,Phase==Single Phase,Automation Grade==Semi-Automatic,Speed==2900,Warranty==1 YEAR,Pump Casing==CI / SS,Impeller==SS,Shaft==SS,I Deal In==New Only,Country of Origin==Made in India",19500
"Heavy Duty Slotted Angle Racks, 18X36 Inch, Height: 7 - 10 Feet","Slotted Angle Racks,Heavy Duty Racks","Load Per Layer==100 Kg,Product Type==Angle Frame,Usage/Application==Office,Height==7 - 10 feet,Layers Per Rack==5,Color==Dark Grey,Country of Origin==Made in India,Size==18x36 inch",2990
"Kabage Xpress Tool Trolley, Capacity: 150 kgs","Automobile Tool Trolley,Tool Trolley","Usage/Application==AUTO MOBILE,Capacity==150 KGS,Brand==KABAGE,Model==XPS,Size==645 X 450 X 850,Product Code==XPS,Color==Red\,Black,Material==Mild Steel",22300
Mild Steel Hand Truck Platform Trolley,Platform Trolley,"Load Capacity==500 kg,Type==Heavy Duty Platform Trolley,Material==Mild Steel,Model Name/Number==CE-PTM003,Brand==Creative Enterprises,Number Of Wheels==4,Platforrn Dimension==600mm x 900 mm",6500
"Std Hydro Test Pump (Min Capacity 35Kg), For Industrial",Hydraulic Test Pumps,"Brand==STD,Pressure==STD,Product Type==STD,Usage/Application==Industrial,Pump Type==STD,Capacity==35kg,size==Standard,Country of Origin==Made in India",4250
Hydraulic Trolley Jack,Trolley Jacks,"Load Capacity==10 Ton,Usage/Application==Automobile Industry,Material==Mild Steel,Lifting Height==10 Inch,Is It Portable==Yes,Color==Red,Country of Origin==Made in India",7000
"Mild Steel Hydraulic trolly jack, For Industrial",Trolley Jacks,"Load Capacity==15 Ton,Usage/Application==Industrial,Material==Mild Steel,Lifting Height==12 Inch,Is It Portable==Yes,Color==Red,Country of Origin==Made in India",8000
"Handy Fogging Machine For Mosquitoes, For Car","Mini Fogging Machines,Thermal Fogging Machine,Fumigation Machine","Chemical Tank Capacity==2 L,Tank Capacity==5 L,Country of Origin==Made in India,Type==Handy Fogging Machine,Usage/Application==Car",6200
Thermal Fogging Machine (heavy,Thermal Fogging Machine,"Chemical Tank Capacity==5 L,Tank Capacity==5 L,Power Source==Battery,Usage/Application==Hospital/Clinic,Country of Origin==Made in India,Type==Thermal Fogging Machine",18500
"super metro tank, 5000 L","Water Storage Tanks,Triple Layered Water Tanks","Storage Capacity==5000 L,Layer==3,Material==LLDPE,Usage/Application==Home,Color==Black",6
"Cotton 2.5 Inch Canvas Hose Pipe, For Plumbing","Canvas Pipe,Cotton Hose","Size/Diameter==2 inch,Type==Agriculture Water Hose,Length==30 mtr,Size==2 inch,Brand==AGRI-FLEX,Bursting Pressure==15 BAR,Color==WHITE,Flexible==YES,Jacket==P U,Packaging Type==WOOVEN GUNNY BAG,Usage/Application==Plumbing,Material==COTTON",38
Mild Steel Industrial Storage Rack,"Industrial Storage Rack,Warehouse Racks","Load per layer==1000Kg,Is It Portable==No,Movable Shelf==No,Country of Origin==Made in India,Material==Mild Steel",125
Black Rubber Caster Wheels,"Rubber Casters,Heavy Duty Casters","Load Capacity(kg)==200 kg,Purpose==Trolley or Cart,Wheel Movement==Rigid,Ball Bearing==Roller,Fitting options==PT,Wheel Width==50mm",45
Stainless Steel Helmet Storage Racks,"Industrial Storage Rack,Staff Locker","Brand==Brightway,Color==Grey,Use==Office,Country of Origin==Made in India,Material==Stainless Steel",13000
Mild Steel Assembley Storage Racks,"Industrial Storage Rack,Assembly Racks","Load per layer==100 kg,Brand==Brightway,Height==7 feet,Country of Origin==Made in India,Material==Mild Steel,Use==Storage",92
Thermoplast Rubber (TPR Grey) Caster Wheels,"Rubber Casters,Heavy Duty Casters","Load Capacity(kg)==200 kg,Purpose==Trolley or Cart,Wheel Movement==Rigid,Fitting options==FX,Load per wheel==115 Kg,Wheel Width==32 mm",150
Rubber Caster Wheel,"Rubber Casters,Aluminium Casters","Per Wheel Size (inch)==10X2.5,Load Capacity==>1000kg,Purpose==Heavy Industry,Wheel Movement==Rigid,Locking==Without Brake,Color==Grey,Material==Rubber",145
KIRLOSKAR / DEUTZ ENGINE RUBBER MOUNTING,"Anti Vibration Pads,Rubber Mounting Pads","Usage/Application==Generator,Shape==Round,Color==Black,Application Industry==Construction,Country of Origin==Made in India,Material==Rubber",600
DWF 63 mm Wedge Wire Lateral Screen,Wedge Wire Screens,"Length of Pipe==500 m,Material==SS,Type==Hard Tube,Slot Size==0.25 mm,Profile Shape==Flat Top,Drip Emitter==Outline,Usage==Industrial,Country of Origin==Made in India,Size==63 mm,Brand==DWF",27000
Aluminum Auto Folding Ladder,"Aluminium Folding Ladder,Aluminium Ladders","Size==Customized,Dimensions==Customized,Ladder Type==Climbing,Is It Anodised==Anodised,Design Type==Step Ladder,Country of Origin==Made in India",4500
"Silver Step Ladder Double Sided Aluminium Ladders, For Industrial, Five Steps","Aluminium Ladders,Step Ladders","Step==Five Steps,Technique==Hot Rolled,Usage/Application==Industrial,Design Type==Step Ladder,Color==Silver",2500
"Stainless Steel Heavy Duty Angle Rack, Height: 8 Feet","Slotted Angle Racks,Industrial Storage Rack","Load Per Layer==100 Kg,Product Type==Angle Frame,Usage/Application==Office,Storage Capacity==500 kg,Layers Per Rack==5,Color==Dark Grey,Material==Stainless Steel,Height==8 feet",4000
Meko Mahindra Tractor Water Pump Assembly,Automotive Water Pumps,"MEKO Part No.==M - 808B,Ref. No.==51620,Vehicle Name==MAHINDRA* JEEP DEISEL B BELT (WITH SINGLE BELT PULLEY B GROOVE FAN BELT TYPE),Brand==Meko",1424
"Brightway Slotted Angle Racks, 450x900x2000, Height: 7","Slotted Angle Racks,Industrial Rack","Load Per Layer==200 Kg,Product Type==Angle Frame,Usage/Application==Warehouse,Storage Capacity==200,Layers Per Rack==6,Color==Dark Grey,Height==7,Size==450x900x2000",2990
UB Marble Sheet,PVC Marble Sheet,"Type==Indoor,Color==multiculor,Country of Origin==Made in India,Material==marble",2500
Fiber Trolley Wheels,Trolley Wheels,"Purpose==Trolley or Cart,Wheel Movement==Rigid,Width (mm)==50mm,Brand==Krizan Syndicate,Diametre==8 inch,Wheel Material==Fiber",25
Blue Water Tank,"Water Storage Tanks,PVC Water Storage Tank,Plastic Water Tank","Material==PVC,Storage Capacity==250-500 L,Layer Type==Single Layer,Color==Blue,Shape==Round,Warranty==1 Year,Country of Origin==Made in India",3.5
Vacuum Pump Oils,Vacuum Pump Oils,"Size==Can of 5 Litre,Grade==NEOVAC MR 200,Packaging Type==Can",665
"Mild Steel Rebar Splicing Coupler, For Construction",Rebar Coupler,"Length==60 mm,Diameter==40 mm,Surface Type==Color Galvanized,Country of Origin==Made in India,Material==Mild Steel,Usage/Application==Construction",21
Mild Steel 25mm MS Reducer Rebar Coupler,Rebar Coupler,"Surface Type==Hot Dipped Galvanized,Color==Silver,Pack Type==Box,Brand==Unique Engineering,Diameter==25 mm,Material==Mild Steel,Coupler Type==Rebar",70
Meko LEYLAND 400 / 401 ( WITH NYLON GLASS FILLED PLASTIC IMP.) Water Pump,Automotive Water Pumps,"MEKO Part No==M - 510 MD,Ref No==F7475800 / B2000808 / 600778 / K1108414 / A7046800,Vehicle Name==L/L 400 / 401 ENGINE DOUBLE PORT OUTLET (WITH NYLON GLASS FILLED PLASTIC IMP.),Brand==Meko",2040
"Goldstar Mini Fogging Machine For Mosquitoes ( MADE IN INDIA, For Everywhere","Mini Fogging Machines,Thermal Fogging Machine,Fumigation Machine","Chemical Tank Capacity==1 L,Usage/Application==Everywhere,Brand==Goldstar,Fuel Tank Capacity==2liter,Chemical Used==Pest Control Liquid,Droplet Size==STD,Voltage==STD,Flow Rate==STD,Country of Origin==Made in India",6250
"Brightway Office Slotted Angle Racks, Height: 7 Feet, 18X36 Inch",Slotted Angle Racks,"Load Per Layer==100 Kg,Product Type==Angle Frame,Layers Per Rack==6,Color==Dark Grey,Country of Origin==Made in India,Usage/Application==Office,Height==7 feet,Size==18x36 inch",2700
Cast Iron and Plastic 5 inch Caster Wheel Without Brake,"PU Casters,Caster Wheels,Heavy Duty Casters","Load Capacity(kg)==750 kg,Brand==Starline Industries,Color==Black and Gray,Weight==200 gm,Packaging Type==Box,Material==Cast Iron and Plastic,Size==5 inch",650
Anvar Vacuum Lifter For Material Handling,Vacuum Lifters,,400000
"KABAGE Tools Box Trolley, OTTM 5, Capacity: 125 Kgs","Automobile Tool Trolley,Tool Cabinets","Capacity==125 KGS,Number of Drawers==5,Brand==KABAGE,Model==OTTM 5,Load Capacity==125 KGS,Size==645 X 480 X 965,Product Code==OTTM 5,Color==Red\, Black,Material==Mild Steel",22000
GKL 2 100 Grease Cartridge,Grease Cartridge,"Capacity==1000ml,Model Number==GKL 2 100",
"Black Creality Ender 3 S1 3D Printer, For Toys And Gifting",FDM 3D Printer,"Material==Rubber,Industry==Toys,Color==Black,Technology==FDM,Software Supporting==Cura,Usage/Application==toys and gifting,Connectivity==SD Card,Display==Knob,File Format Supported==STL",26000
"Polished Transparent Acrylic Sheet in Pune, Thickness: 2 To 10 mm",Acrylic Sheet,,
"Rubber Bonded Wheel, Load Capacity: 1000 kg","Solid Rubber Wheel,Bonded Wheels","Usage/Application==Heavy Duty Work,Material==Stainless Steel,Abrasive Grade==CBN,Shape==Round,Size/Dimension==(150 X 12 X 31.75) mm,Load Capacity==1000 kg",450
"Black Anti Vibration Rubber Mount, For Air Compressor","Anti Vibration Mounts,Anti Vibration Pads","Brand==LR BOND,Material==Stainless Steel,Fire Resistance==Yes,Surface Finishing==Painted,Country of Origin==Made in India,Color==BLACK,Usage/Application==Air Compressor",550
"PEKINS 1000 SERIES 1004-40T, 1006-60TA (Gear-19 Teeth)",Automotive Water Pumps,"Brand==Meko,Meko Part No==M- 1003 A,Ref No==U5MW0196,Vehicle Name==Pekins 1000 series 1004-40T\, 1006-60TA",2275
"SS Rolltec Threaded Rebar Coupler, Size: 2 inches, For Industrial",Rebar Coupler,"Color==silver,Shape==Round,Country of Origin==Made in India,Size==2 inches,Material==SS,Usage/Application==industrial",17
"Red Silicone Rubber Sheets, For Industrial",Silicone Rubber Sheets,"Thickness==1 mm,Material==Silicon,Packaging==Roll,Color==Red,Usage/Application==Industrial,Product==Rubber Sheet",100
Foam Rubber Caster Wheels,Rubber Casters,"Purpose==Trolley or Cart,Wheel Movement==Rigid,Ball Bearing==Double,Fitting options==PT,Load per wheel==200 Kg,Wheel Width==64 mm",1500
Industrial Grade Qidi i-Fast FDM 3D Printer,FDM 3D Printer,"Model Name/Number==i-Fast,Brand==Qidi,Industry==Industrial Grade,Material==PLA\, ABS\, TPU\, NYLON,Technology==FDM,Weight==33kg,Print Accuracy==0.2 mm,Power==700W,Nozzle Diameter==0.4 mm,Print Speed==150 mm/s,Support==Windows 64 bit/Mac,Connection Options==Wifi/LAN/USB Pen Drive,Voltage==220 V,Machine Size==710x510x670 mm,Compatible Software==QidiPrint/Cura/Simplify 3D,Extruder Temperature==300 DegreeC,Print Size==330x250x320 mm",350000
10000 Litre Water Tank,"Water Storage Tanks,Plastic Water Tank,Triple Layered Water Tanks","Layer==3,Material==LLDPE,Usage/Application==Industrial,117X83==18'",79000
DX-530 TATA 609 LPT Truck Water Pump Assembly,Water Pump Assembly,"Brand==Donex,Material==Cast Iron,Model Name/Number==DX-530 TATA 609 LPT,Max Flow Rate==300 LPM,Surface Treatment==Polished,Weight==5 Kg,Temperature==80 Degree Celsius,Warranty==2 Year,Usage/Application==Water Pump Use,Features==Accuracy Durable\, Corrosion Resistance\, Dimensional\, Extra StrongerResistance\, Dimensional,Technique==Hot Dip Galvanized",2400
PU Anti Vibration Pad,Anti Vibration Pads,"Usage/Application==Air Conditioner,Shape==Round,Thickness==6 mm,Color==Black,Tensile Strength==12 Mpa,Material Type==PU And Metal",300
"3 Shelves Slotted Angle Steel Racks, 2x1x3 Feet (lxwxh)","Slotted Angle Racks,Steel Racks","Load Per Layer==150 Kg,Product Type==Angle Frame,Usage/Application==Warehouse,Finish Type==Paint Coated,Size==2x1x3 feet (LxWxH),Product Material==Steel,No Of Shelves==3",700
"Red polycarbonate grinding, For Automobile Industry","Polycarbonate Granules,Polycarbonate Scrap","Packaging Type==25 kgs,Thickness==3mm,Color==Red,Usage/Application==Automobile Industry,Material==Polycarbonate",115
Meko HYUNDAI i20 / VERNA FLUIDIC DIESEL ENG Water Pump,Automotive Water Pumps,"Power==5 HP,Brand==Meko,MEKO Part No==M - 646 C,Ref No==20100-2A020,Vehicle Name==Hyundai I20 Diesel Eng",1237
"Hydraulic Bottle Jack, Capacity: 50 Ton","Hydraulic Bottle Jack,Hydraulic Jacks,Screw Jacks","Type Of Press==Ring Frame,Material==Mild Steel,Capacity==50 Ton,Usage/Application==Punching,Automation Grade==Automatic,Country of Origin==Made in India",3500
Meko M-603 TATA LCV Water Pump Assembly,Automotive Water Pumps,"Power==5 HP,Brand==Meko,MEKO Part No==M -603,Ref No==2534 2010 0120,Vehicle Name==TATA* 407/608 ( TATA* 597 Engine)",1961
M-813 Escort Tractor Water Pump Assembly,Automotive Water Pumps,"Brand==Meko,Vehicle Name==ESCORT* C-335/328,MEKO PART No.==M - 813",1457
Meko M-818 Swaraj Tractor Water Pump Assembly,Automotive Water Pumps,"MEKO Part No==M -818 /M - 528,Ref No==719400 / 719490,Vehicle Name==Kirloskar* (Rb-22/33 Engine)(4 Hole) / Swaraz 855 Tractor,Brand==Meko",1727
Meko Sonalika Tractor Water Pump,Automotive Water Pumps,"MEKO PART No.==M - 842A,Ref. No==EP406319,Vehicle Name==SONALIKA* INT. LATEST MODEL (DOUBLE MOUTH HOUSING WITH 4 RIBS) (PULLEY 110 MM),Brand==Meko",1699
Mild Steel Foldable Platform Trolley,"Foldable Platform Trolley,Hand Trolley,MS Trolley","Load Capacity==500 kg,Material==Mild Steel,Model Name/Number==CE-PTM001,Brand==Creative Enterprises,Number Of Wheel==4,Platforrn Dimension==900 mm x 600 mm,Surface Finish==Color Coated\,Polished\,etc",5000
"Slotted Angle Racks, Height: 7-10 Feet, 18X36 Inch","Slotted Angle Racks,Industrial Storage Rack","Load Per Layer==100 Kg,Product Type==Angle Frame,Usage/Application==Warehouse,Height==7-10 feet,Layers Per Rack==6,Color==Dark Grey,Country of Origin==Made in India,Size==18x36 Inch",3150
Perkins Tractor Water Pump,Automotive Water Pumps,"Material==Cast Iron,Surface Finishing==Polished,Weight==5 Kg,Power Source==Electric,Vihcles Type==Tractor,Color==Grey,Brand==Meko,Application==Tractor,Pump Type==Water Pump",1390
Vacuum Tube Lifter Handle,Vacuum Lifters,"Lifting Capacity==40 kg,Material==Mild Steel,Phase==Single,Automation Grade==Semi Automation,Voltage==240 V,Frequency==50 Hz,Power==3 HP",35000
Cummins WATER PUMP,Automotive Water Pumps,"Part No.==M-1029,Brand==Meko,Ref No.==3801840 3825540 3803402 3054421 3893565,Vehicle Name==CUMMINS L10",3520
"Jindal Polyurethane 50mm Puf Roofing Sheet, For Insulation",PUF Insulated Roofing Panel,"Thickness==50 mm,Color==All Colors,Usage/Application==Insulation,Surface Treatment==Galvanised,Brand==Jindal,Material==Polyurethane,Density==40kg/m3,Weight==20kg,Country of Origin==Made in India",1350
Meko PERKINS MF FORDSON E27N Water Pump,Automotive Water Pumps,"Brand==Meko,MEKO Part No==M -519,Ref No==57746,Vehicle Name==Simpson* P4 High Position Qhl Type Engine",2304
"MS Rebar Coupler, Size: 2 inches, For Construction",Rebar Coupler,"Color==Silver,Country of Origin==Made in India,Size==2 inches,Material==MS,Usage/Application==Construction",40
White 750 L 3 Layer Plastic Water Tank,Triple Layered Water Tanks,"Layer==3,Usage/Application==Home,Brand==Neeralic,Processing==Roto Molding,Finishing==Polished,Storage Capacity==750 L,Color==White,Tank Material==Plastic",5000
"Mild Steel Tmt Rebar Coupler, For Construction",Rebar Coupler,"Length==50 mm,Diameter==25 mm,Surface Type==Hot Dipped Galvanized,Color==Silver,Country of Origin==Made in India,Material==Mild Steel,Usage/Application==Construction",50
Black Creality Ender 3 Max Neo 3d,FDM 3D Printer,"Material==Polylactic acid (PLA),Industry==Architecture Industry,Technology==FDM,Color==Black,Software Supporting==Cura,Type Of Service Provider==Any,Usage/Application==Big size 3d prototyping",30000
Creality Ender 3 V3 Se,FDM 3D Printer,"Material==Polylactic acid (PLA),Dedicated Part cooling fan==yes,XY axis positioning accuracy==+ or - 0.1mm,XY Axis Precision==+ or - 0.1mm,Print Head Travel Speed==250 mm/s",20000
Aluminum Red Qidi X-smart 3 3D Printer,"FDM 3D Printer,3D Printer","Industry==Education,Technology==FDM,Software Supporting==Qidi print\, cura,Extruder Quantity==Single Nozzle,Layer Thickness==0.4 mm,Nozzle Diameter==0.4 mm,Printing Size==175 x 180 x 170 mm,Voltage==240 V,Compatible Computer Systems==Windows 64 bit/Mac,Output File Type==GCODE,Input File Type==STL/OBJ,Printing Speed==500 mm/s,Software==QidiPrint,Material==Aluminum,Color==Red,Model Name/Number==X-smart 3,Brand==Qidi",80000
