SEARCH KEYWORD,MODIFIED KEYWORD,QCR KEYWORD,ATTRIBUTE EXTRACTION FLAG,SOLR EXECUTION,SOLR STATUS,ALFA EXECUTION,ALFA STATUS,MARS EXECUTION,MARS STATUS,MERI EXECUTION,MERI STATUS,CHATGPT EXECUTION,CHATGPT STATUS,ENSEMBLE RUN,SOLR_INFO,ALFA_INFO,MARS_INFO,MERI_INFO,CHATGPT_INFO,ID 1,NAME 1,MCAT_ACCURACY_LEVEL 1,ID 2,NAME 2,MCAT_ACCURACY_LEVEL 2,ID 3,NAME 3,MCAT_ACCURACY_LEVEL 3,ID 4,NAME 4,MCAT_ACCURACY_LEVEL 4,ID 5,NAME 5,MCAT_ACCURACY_LEVEL 5
Hot Rolled Sheets,hot rolled sheets,Hot Rolled Sheets,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 80438   |   Hot Rolled Sheets   |   High || 155718   |   Mild Steel Hot Rolled Sheet   |   Medium || 10775   |   Hot Rolled Plates   |   Medium || 178967   |   Brass Hot Rolled Sheet   |   Medium || 652770   |   Tin Plate Hot Rolled Sheet   |   Medium || 189595   |   Hot Rolled Stainless Steel Sheet   |   Medium ],alfa-info: [ 80438   |   hot rolled sheets   |   High ],mars-info: [ 80438   |   Hot Rolled Sheets   |   High ],[],[],80438,Hot Rolled Sheets,High,155718,Mild Steel Hot Rolled Sheet,Medium,10775,Hot Rolled Plates,Medium,189595,Hot Rolled Stainless Steel Sheet,Medium,652770,Tin Plate Hot Rolled Sheet,Medium
Railway Parts,railway parts,Railway Parts,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 85647   |   Railway Parts   |   High || 183703   |   Railway Axle   |   High || 144573   |   Railway Track Fittings   |   Medium || 116953   |   Railway Track Parts   |   Medium ],alfa-info: [ 85647   |   railway parts   |   High ],mars-info: [ 85647   |   Railway Parts   |   High ],[],[],85647,Railway Parts,High,183703,Railway Axle,Medium,144573,Railway Track Fittings,Medium,116953,Railway Track Parts,Medium,80982,Railway Wagon,Low
Rotavator Parts,rotavator parts,Rotavator Parts,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 113920   |   Rotavator Parts   |   High || 190153   |   Rotavator Gear   |   Medium ],alfa-info: [ 113920   |   rotavator parts   |   High ],mars-info: [ 113920   |   Rotavator Parts   |   High ],[],[],113920,Rotavator Parts,High,190153,Rotavator Gear,High,43202,Rotavator,Low,1745,Tractor Spare Parts,Low,164251,Multi Speed Rotavator,Low
Food Cart,food cart,Food Cart,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 77790   |   Food Cart   |   High || 183550   |   Fast Food Stall   |   Medium || 34869   |   Push Carts   |   Medium || 651858   |   Stainless Steel Food Cart   |   Medium || 651868   |   Wooden Food Cart   |   Medium || 442256   |   Electric Food Van   |   Medium ],alfa-info: [ 77790   |   food cart   |   High ],mars-info: [ 77790   |   Food Cart   |   High ],[],[],77790,Food Cart,High,183550,Fast Food Stall,Medium,34869,Push Carts,Medium,442256,Electric Food Van,Medium,651858,Stainless Steel Food Cart,Medium
Pharma Pet Bottles,pharma pet bottles,Pharma Pet Bottles,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 149941   |   Pharma PET Bottles   |   High || 1425   |   PET Bottles   |   Medium ],alfa-info: [ 149941   |   pharma pet bottles   |   High ],mars-info: [ 149941   |   Pharma PET Bottles   |   High ],[],[],149941,Pharma PET Bottles,High,1425,PET Bottles,Medium,16068,HDPE Bottle,Low,1500,Plastic Bottles,Low,10656,Amber Glass Bottle,Low
Purified Water,purified water,Purified Water,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 122528   |   Purified Water   |   High || 6725   |   Drinking Water   |   Medium || 5145   |   Mineral Water Bottle   |   Medium || 136575   |   Packaged Drinking Water   |   Medium ],alfa-info: [ 122528   |   purified water   |   High ],mars-info: [ 122528   |   Purified Water   |   High ],[],[],122528,Purified Water,High,6725,Drinking Water,Medium,5145,Mineral Water Bottle,Medium,136575,Packaged Drinking Water,Medium,43850,Empty Mineral Water Bottle,Low
Motor Cars,motor cars,Motor Cars,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 33324   |   Motor Cars   |   High || 192771   |   Hyundai Car   |   Medium || 192770   |   Maruti Car   |   Medium || 149844   |   Second Hand Cars   |   Medium ],alfa-info: [ 33324   |   motor cars   |   High ],mars-info: [ 33324   |   Motor Cars   |   High ],[],[],33324,Motor Cars,High,192771,Hyundai Car,Medium,192770,Maruti Car,Medium,149844,Second Hand Cars,Medium,192645,Mahindra Cars,Low
Kids Toys,kids toys,Kids Toys,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 20595   |   Kids Toys   |   High || 34920   |   PVC Kids Toy   |   High || 4187   |   Baby Toys   |   High || 189031   |   Kids Bubble Toys   |   High || 217490   |   Starmark Kids Toys   |   Medium || 217800   |   Lohia Warehouse Kids Toys   |   Medium || 33699   |   Musical Baby Toy   |   Medium ],alfa-info: [ 20595   |   kids toys   |   High ],mars-info: [ 20595   |   Kids Toys   |   High ],[],[],20595,Kids Toys,High,34920,PVC Kids Toy,Medium,4187,Baby Toys,Medium,189031,Kids Bubble Toys,Medium,33699,Musical Baby Toy,Medium
AC Solar Pump,ac solar pump,AC Solar Pump,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 157757   |   AC Solar Pump   |   High || 37342   |   Solar Pumps   |   Medium || 139150   |   Solar Water Pump   |   Medium ],alfa-info: [ 157757   |   ac solar pump   |   High ],mars-info: [ 157757   |   AC Solar Pump   |   High ],[],[],157757,AC Solar Pump,High,37342,Solar Pumps,Medium,139150,Solar Water Pump,Medium,160839,Solar Pump Controller,Low,153498,Solar Submersible Pumps,Low
Carpet Cleaning Services,carpet cleaning services,Carpet Cleaning Services,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 49995   |   Carpet Cleaning Services   |   High || 43701   |   Cleaning Services   |   Medium || 164198   |   Sofa Cleaning Services   |   Medium ],alfa-info: [ 49995   |   carpet cleaning services   |   High ],mars-info: [ 49995   |   Carpet Cleaning Services   |   High ],[],[],49995,Carpet Cleaning Services,High,43701,Cleaning Services,Medium,164198,Sofa Cleaning Services,Medium,65892,Housekeeping Service,Low,169285,Deep Cleaning Services,Low
Toyota Car,toyota car,Toyota Car,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 192695   |   Toyota Car   |   High || 190028   |   Cars   |   High || 33324   |   Motor Cars   |   Medium || 189388   |   Toyota Used Cars   |   Medium ],alfa-info: [ 192695   |   toyota car   |   High ],mars-info: [ 192695   |   Toyota Car   |   High ],[],[],192695,Toyota Car,High,190028,Cars,Medium,33324,Motor Cars,Medium,189388,Toyota Used Cars,Medium,192770,Maruti Car,Low
Waterproofing Chemicals,waterproofing chemicals,Waterproofing Chemicals,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 3372   |   Waterproofing Chemicals   |   High || 181249   |   Dr Fixit Waterproofing Chemicals   |   Medium || 43264   |   Waterproofing Material   |   Medium || 181248   |   Fosroc Waterproofing Chemicals   |   Medium || 289317   |   Dr Fixit Pidicrete Waterproofing Chemical   |   Medium || 182365   |   Sika Waterproofing Chemicals   |   Medium || 289331   |   Dr Fixit Raincoat Waterproofing Chemical   |   Medium || 289348   |   Dr Fixit Roof Seal Waterproofing Chemical   |   Medium || 289341   |   Dr Fixit Pidifin 2K Waterproofing Chemical   |   Medium || 445823   |   Cico Waterproofing Chemicals   |   Medium || 193614   |   Asian Paints Waterproofing Chemicals   |   Medium || 289346   |   Dr Fixit 302 Super Latex Waterproofing Chemical   |   Medium || 289332   |   Dr Fixit Newcoat Waterproofing Chemical   |   Medium || 291279   |   Zycosil Plus Waterproofing Chemical   |   Medium || 291253   |   Sunanda Polyalk Wp Waterproofing Chemical   |   Medium || 291267   |   Myk Arment Waterproofing Chemical   |   Medium || 203740   |   Perma Chemicals Waterproofing Chemicals   |   Medium || 442242   |   Bostik Waterproofing Chemicals   |   Medium || 205740   |   Basf Waterproofing Chemicals   |   Medium || 224297   |   Choksey Waterproofing Chemicals   |   Medium || 291332   |   Zydex Elastobar Waterproofing Chemical   |   Medium || 291256   |   Cico Super Waterproofing Chemical   |   Medium || 291325   |   Zycoprime Plus Waterproofing Chemical   |   Medium || 291231   |   Cico 1 Waterproofing Chemical   |   Medium || 291307   |   Tapecrete Waterproof Coating Chemical   |   Medium || 443703   |   Zydex Waterproofing Solutions   |   Medium || 650161   |   Dr Fixit Krystalline Waterproofing Coating   |   Medium || 289344   |   Dr Fixit Pidiproof Lw Plus   |   Medium ],alfa-info: [ 3372   |   waterproofing chemicals   |   High ],mars-info: [ 3372   |   Waterproofing Chemicals   |   High ],[],[],3372,Waterproofing Chemicals,High,181249,Dr Fixit Waterproofing Chemicals,High,43264,Waterproofing Material,Medium,289317,Dr Fixit Pidicrete Waterproofing Chemical,Medium,291332,Zydex Elastobar Waterproofing Chemical,Medium
Air Quality Monitors,air quality monitors,Air Quality Monitors,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 21693   |   Air Quality Monitors   |   High || 21679   |   Air Monitors   |   Medium || 222566   |   Nevco Air Quality Monitors   |   Medium || 222565   |   Airveda Air Quality Monitors   |   Medium || 159143   |   Ambient Air Quality Monitoring Equipment   |   Medium || 158962   |   Air Monitoring Instruments   |   Medium ],alfa-info: [ 21693   |   air quality monitors   |   High ],mars-info: [ 21693   |   Air Quality Monitors   |   High ],[],[],21693,Air Quality Monitors,High,21679,Air Monitors,High,222566,Nevco Air Quality Monitors,Medium,158962,Air Monitoring Instruments,Medium,222565,Airveda Air Quality Monitors,Medium
plastic box,plastic box,plastic box,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 16826   |   Plastic Box   |   High || 40317   |   Transparent Plastic Storage Boxes   |   High || 108864   |   Dry Storage Boxes   |   High || 112888   |   Plastic Storage Boxes   |   Medium || 116063   |   Candy Plastic Boxes   |   Medium || 214266   |   Sunshine Plastic Box   |   Medium || 154371   |   Disposable Plastic Food Container   |   Medium ],alfa-info: [ 16826   |   plastic box   |   High ],mars-info: [ 16826   |   Plastic Box   |   High ],[],[],16826,Plastic Box,High,40317,Transparent Plastic Storage Boxes,Medium,108864,Dry Storage Boxes,Medium,214266,Sunshine Plastic Box,Medium,112888,Plastic Storage Boxes,Medium
Bus Travel Services,bus travel services,Bus Travel Services,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 168117   |   Bus Travel Services   |   High || 42065   |   Bus Rental   |   Medium ],alfa-info: [ 168117   |   bus travel services   |   High ],mars-info: [ 168117   |   Bus Travel Services   |   High ],[],[],168117,Bus Travel Services,High,42065,Bus Rental,Medium,209147,Mini Bus Rental,Low,23388,Car Rental,Low,42066,Cab Services,Low
PET Bottles,pet bottles,PET Bottles,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 1425   |   PET Bottles   |   High || 149941   |   Pharma PET Bottles   |   High || 153879   |   Liquor PET Bottle   |   High || 159530   |   Plastic Screw Capped Bottles   |   High || 84685   |   PET Water Bottle   |   Medium || 1500   |   Plastic Bottles   |   Medium || 404300   |   Soda Pet Bottle   |   Medium || 218973   |   Chemco PET Bottles   |   Medium || 218975   |   Alpha Pet Bottles   |   Medium || 218974   |   AG pet Bottles   |   Medium || 218978   |   Tupperware pet Bottles   |   Medium || 218977   |   Duropet Pet Bottles   |   Medium ],alfa-info: [ 1425   |   pet bottles   |   High ],mars-info: [ 1425   |   PET Bottles   |   High ],[],[],1425,PET Bottles,High,149941,Pharma PET Bottles,Medium,153879,Liquor PET Bottle,Medium,159530,Plastic Screw Capped Bottles,Medium,218975,Alpha Pet Bottles,Medium
Table Tennis Table,table tennis table,Table Tennis Table,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 2919   |   Table Tennis Table   |   High || 222059   |   STAG Table Tennis Table   |   Medium || 38427   |   Table Tennis Equipment & Accessories   |   Medium || 2918   |   Table Tennis Equipment   |   Medium || 222060   |   Metco Table Tennis Table   |   Medium || 222058   |   Tanishq Billiards Table Tennis Table   |   Medium || 222061   |   Panchal Billiards Table Tennis Table   |   Medium ],alfa-info: [ 2919   |   table tennis table   |   High ],mars-info: [ 2919   |   Table Tennis Table   |   High ],[],[],2919,Table Tennis Table,High,222059,STAG Table Tennis Table,Medium,38427,Table Tennis Equipment & Accessories,Medium,222060,Metco Table Tennis Table,Medium,222061,Panchal Billiards Table Tennis Table,Medium
Nfc Business Card,nfc business card,Nfc Business Card,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 215336   |   NFC Business Card   |   High ],alfa-info: [ 215336   |   nfc business card   |   High ],mars-info: [ 215336   |   NFC Business Card   |   High ],[],[],215336,NFC Business Card,High,1022,Visiting Cards,Low,80957,PVC Card,Low,36401,RFID Tag,Low,5429,Business Cards,Low
Adidas Casual Shoes,adidas casual shoes,Adidas Casual Shoes,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 203657   |   Adidas Casual Shoes   |   High || 5638   |   Casual Shoes   |   High || 153411   |   Men Casual Shoes   |   Medium || 178549   |   Adidas Shoes   |   Medium ],alfa-info: [ 203657   |   adidas casual shoes   |   High ],mars-info: [ 203657   |   Adidas Casual Shoes   |   High ],[],[],203657,Adidas Casual Shoes,High,5638,Casual Shoes,Medium,153411,Men Casual Shoes,Medium,178549,Adidas Shoes,Medium,180492,Men Sport Shoes,Low
coca cola cold drink,coca cola cold drink,coca cola cold drink,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 184905   |   Coca Cola Cold Drink   |   High || 80141   |   Cold Drink   |   High || 37025   |   Soft Drinks   |   Medium ],alfa-info: [ 184905   |   coca cola cold drink   |   High ],mars-info: [ 184905   |   Coca Cola Cold Drink   |   High ],[],[],184905,Coca Cola Cold Drink,High,80141,Cold Drink,Medium,37025,Soft Drinks,Medium,207174,Campa Cola Carbonated Drinks,Low,73171,Energy Drink,Low
Children Tricycle,children tricycle,Children Tricycle,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 24064   |   Children Tricycle   |   High || 50416   |   Push Toy   |   Medium ],alfa-info: [ 24064   |   children tricycle   |   High ],mars-info: [ 24064   |   Children Tricycle   |   High ],[],[],24064,Children Tricycle,High,50416,Push Toy,Medium,20595,Kids Toys,Low,10452,Kids Bicycles,Low,22735,Baby Walkers,Low
Industrial Shock Absorbers,industrial shock absorbers,Industrial Shock Absorbers,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 30722   |   Industrial Shock Absorbers   |   High || 9267   |   Shock Absorber   |   Medium || 10855   |   Hydraulic Shock Absorbers   |   Medium ],alfa-info: [ 30722   |   industrial shock absorbers   |   High ],mars-info: [ 30722   |   Industrial Shock Absorbers   |   High ],[],[],30722,Industrial Shock Absorbers,High,9267,Shock Absorber,Medium,10855,Hydraulic Shock Absorbers,Medium,80605,Car Shock Absorber,Low,80986,Car Rear Shock Absorber,Low
Cobalt Alloys,cobalt alloys,Cobalt Alloys,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 25101   |   Cobalt Alloys   |   High || 812   |   Nickel Alloys   |   Medium ],alfa-info: [ 25101   |   cobalt alloys   |   High ],mars-info: [ 25101   |   Cobalt Alloys   |   High ],[],[],25101,Cobalt Alloys,High,812,Nickel Alloys,Medium,38151,Stainless Steel Round Bar,Low,21459,Aluminum Alloy Sheets,Low,36907,Round Bars,Low
Spice Jar,spice jar,Spice Jar,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 81188   |   Spice Jar   |   High || 35122   |   Plastic Jars   |   Medium || 69212   |   Glass Spice Jars   |   Medium ],alfa-info: [ 81188   |   spice jar   |   High ],mars-info: [ 81188   |   Spice Jar   |   High ],[],[],81188,Spice Jar,High,35122,Plastic Jars,Medium,69212,Glass Spice Jars,Medium,5850,PET Jars,Low,28751,Glass Storage Jar,Low
Centering Plates,centering plates,Centering Plates,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 53419   |   Centering Plates   |   High || 222683   |   Mild Steel Centering Plate   |   High || 137418   |   Shuttering Plates   |   Medium || 142495   |   Centering Sheets   |   Medium ],alfa-info: [ 53419   |   centering plates   |   High ],mars-info: [ 53419   |   Centering Plates   |   High ],[],[],53419,Centering Plates,High,222683,Mild Steel Centering Plate,High,137418,Shuttering Plates,Medium,142495,Centering Sheets,Medium,9729,MS Plates,Low
Buprenorphine TABLET,buprenorphine tablet,Buprenorphine TABLET,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 365267   |   Buprenorphine Tablet   |   High || 145293   |   Sublingual Tablets   |   Medium ],alfa-info: [ 365267   |   buprenorphine tablet   |   High ],mars-info: [ 365267   |   Buprenorphine Tablet   |   High ],[],[],365267,Buprenorphine Tablet,High,145293,Sublingual Tablets,Medium,114130,Naltrexone Tablets,Low,158612,Disulfiram Tablet,Low,656487,Buprenorphine and Naloxone tablet,Low
Rubber Chemicals,rubber chemicals,Rubber Chemicals,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 779   |   Rubber Chemicals   |   High || 36026   |   Rubber Accelerators   |   Medium || 290226   |   TDQ Rubber Chemical   |   Medium || 290231   |   Irodur Rubber Chemicals   |   Medium ],alfa-info: [ 779   |   rubber chemicals   |   High ],mars-info: [ 779   |   Rubber Chemicals   |   High ],[],[],779,Rubber Chemicals,High,36026,Rubber Accelerators,Medium,290226,TDQ Rubber Chemical,Medium,290231,Irodur Rubber Chemicals,Medium,109094,Sulphur Powder,Low
Kids Water Bottle,kids water bottle,Kids Water Bottle,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 180552   |   Kids Water Bottle   |   High || 40874   |   Water Bottle   |   Medium || 5056   |   Plastic Empty Water Bottle   |   Medium ],alfa-info: [ 180552   |   kids water bottle   |   High ],mars-info: [ 180552   |   Kids Water Bottle   |   High ],[],[],180552,Kids Water Bottle,High,40874,Water Bottle,Medium,5056,Plastic Empty Water Bottle,Medium,87669,Stainless Steel Water Bottle,Low,1500,Plastic Bottles,Low
Mahindra Tractor,mahindra tractor,Mahindra Tractor,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 182280   |   Mahindra Tractor   |   High || 74879   |   Tractor   |   High ],alfa-info: [ 182280   |   mahindra tractor   |   High ],mars-info: [ 182280   |   Mahindra Tractor   |   High ],[],[],182280,Mahindra Tractor,High,74879,Tractor,Medium,189360,Swaraj Tractor,Low,189363,John Deere Tractor,Low,182279,Sonalika Tractor,Low
PVC Blind,pvc blind,PVC Blind,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 116872   |   PVC Blind   |   High || 95045   |   PVC Vertical Blind   |   High || 3419   |   Window Blinds   |   Medium || 117492   |   Window Roller Blind   |   Medium ],alfa-info: [ 116872   |   pvc blind   |   High ],mars-info: [ 116872   |   PVC Blind   |   High ],[],[],116872,PVC Blind,High,95045,PVC Vertical Blind,High,3419,Window Blinds,Medium,117492,Window Roller Blind,Medium,36535,Roller Blinds,Low
Stainless Steel Tumbler,stainless steel tumbler,Stainless Steel Tumbler,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 41964   |   Stainless Steel Tumbler   |   High || 7797   |   Stainless Steel Glasses   |   Medium || 911   |   Tumblers   |   Medium ],alfa-info: [ 41964   |   stainless steel tumbler   |   High ],mars-info: [ 41964   |   Stainless Steel Tumbler   |   High ],[],[],41964,Stainless Steel Tumbler,High,7797,Stainless Steel Glasses,High,911,Tumblers,Medium,157346,Stainless Steel Vacuum Flask,Low,40761,Vacuum Flask,Low
Agricultural Gypsum Powder,agricultural gypsum powder,Agricultural Gypsum Powder,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 215902   |   Agricultural Gypsum Powder   |   High || 120958   |   Gypsum Powder   |   Medium ],alfa-info: [ 215902   |   agricultural gypsum powder   |   High ],mars-info: [ 215902   |   Agricultural Gypsum Powder   |   High ],[],[],215902,Agricultural Gypsum Powder,High,120958,Gypsum Powder,Medium,29938,Gypsum Plaster,Low,7635,Soil Conditioner,Low,444615,Gypsum Fertilizer,Low
Herbal Face Cream,herbal face cream,Herbal Face Cream,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 9180   |   Herbal Face Cream   |   High || 9174   |   Herbal Cream   |   Medium || 152963   |   Herbal Fairness Cream   |   Medium || 6218   |   Face Cream   |   Medium ],alfa-info: [ 9180   |   herbal face cream   |   High ],mars-info: [ 9180   |   Herbal Face Cream   |   High ],[],[],9180,Herbal Face Cream,High,9174,Herbal Cream,Medium,152963,Herbal Fairness Cream,Medium,6218,Face Cream,Medium,28214,Fairness Cream,Low
Sports Air Guns,sports air guns,Sports Air Guns,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 21405   |   Sports Air Guns   |   High || 183257   |   Air Pistol   |   Medium || 50141   |   Air Rifle   |   Medium || 315637   |   CO2 Gun   |   Medium || 222428   |   Precihole Sports Air Rifle   |   Medium ],alfa-info: [ 21405   |   sports air guns   |   High ],mars-info: [ 21405   |   Sports Air Guns   |   High ],[],[],21405,Sports Air Guns,High,183257,Air Pistol,Medium,50141,Air Rifle,Medium,315637,CO2 Gun,Medium,222428,Precihole Sports Air Rifle,Medium
Diamond Saw Blades,diamond saw blades,Diamond Saw Blades,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 12787   |   Diamond Saw Blades   |   High || 24922   |   Circular Saw Blades   |   Medium || 104878   |   Stone Granite Cutting Blade   |   Medium || 146545   |   Marble Cutting Blade   |   Medium || 445341   |   DEWALT Cutting Blade   |   Medium || 193978   |   Xtra Power Cutting Wheels   |   Medium ],alfa-info: [ 12787   |   diamond saw blades   |   High ],mars-info: [ 12787   |   Diamond Saw Blades   |   High ],[],[],12787,Diamond Saw Blades,High,24922,Circular Saw Blades,Medium,104878,Stone Granite Cutting Blade,Medium,146545,Marble Cutting Blade,Medium,193978,Xtra Power Cutting Wheels,Medium
poultry feed,poultry feed,poultry feed,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 939   |   Poultry Feed   |   High || 117944   |   Soya Lecithin Poultry Feed   |   High || 7240   |   Poultry Feed Supplements   |   High || 194458   |   Godrej Poultry Feed   |   Medium || 194482   |   Suguna Poultry Feed   |   Medium || 205396   |   Premium Poultry Feed   |   Medium || 207485   |   Japfa Poultry Feed   |   Medium || 205269   |   Sona Gold Poultry Feed   |   Medium || 205217   |   EVA Poultry Feed   |   Medium || 205216   |   Euro Power Poultry Feed   |   Medium || 194484   |   Nutrikraft Poultry Feed   |   Medium || 194588   |   Nexgen Poultry Feed   |   Medium || 216250   |   Poultry Feed Enzymes   |   Medium || 652663   |   Organic Feed   |   Medium || 166012   |   Toxin Binder   |   Medium ],alfa-info: [ 939   |   poultry feed   |   High ],mars-info: [ 939   |   Poultry Feed   |   High ],[],[],939,Poultry Feed,High,117944,Soya Lecithin Poultry Feed,High,7240,Poultry Feed Supplements,Medium,207485,Japfa Poultry Feed,Medium,216250,Poultry Feed Enzymes,Medium
Hybrid Maize Seeds,hybrid maize seeds,Hybrid Maize Seeds,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 152862   |   Hybrid Maize Seeds   |   High || 179603   |   Maize Seeds   |   Medium ],alfa-info: [ 152862   |   hybrid maize seeds   |   High ],mars-info: [ 152862   |   Hybrid Maize Seeds   |   High ],[],[],152862,Hybrid Maize Seeds,High,179603,Maize Seeds,High,113722,Maize,Low,5679,Paddy Seeds,Low,41550,Yellow Corn,Low
Sports Watch,sports watch,Sports Watch,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 17621   |   Sports Watch   |   High || 31979   |   Men Sports Watch   |   High || 108249   |   Fashion Sports Watches   |   High || 26216   |   Digital Sports Watch   |   Medium || 192920   |   Garmin Sports Watch   |   Medium || 98643   |   Analog Sports Watches   |   Medium ],alfa-info: [ 17621   |   sports watch   |   High ],mars-info: [ 17621   |   Sports Watch   |   High ],[],[],17621,Sports Watch,High,31979,Men Sports Watch,High,108249,Fashion Sports Watches,Medium,192920,Garmin Sports Watch,Medium,26216,Digital Sports Watch,Medium
Calcium Chloride,calcium chloride,Calcium Chloride,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 5466   |   Calcium Chloride   |   High || 160048   |   Calcium Chloride Anhydrous Powder   |   Medium || 179059   |   Calcium Chloride Lumps   |   Medium || 288892   |   Calcium Chloride Prill   |   Medium ],alfa-info: [ 5466   |   calcium chloride   |   High ],mars-info: [ 5466   |   Calcium Chloride   |   High ],[],[],5466,Calcium Chloride,High,160048,Calcium Chloride Anhydrous Powder,Medium,179059,Calcium Chloride Lumps,Medium,288892,Calcium Chloride Prill,Medium,181248,Fosroc Waterproofing Chemicals,Low
Mobile Back Cover,mobile back cover,Mobile Back Cover,0,TRUE,success,TRUE,success,TRUE,success,FALSE,FALSE,FALSE,FALSE,TRUE,solr-info: [ 180548   |   Mobile Back Cover   |   High || 5185   |   Mobile Cover   |   Medium || 183025   |   Designer Mobile Cover   |   Medium || 185208   |   Printed Mobile Back Cover   |   Medium || 191871   |   Transparent Mobile Back Cover   |   Medium || 179091   |   3D Mobile Covers   |   Medium || 184112   |   HTC Mobile Cover   |   Medium ],alfa-info: [ 180548   |   mobile back cover   |   High ],mars-info: [ 180548   |   Mobile Back Cover   |   High ],[],[],180548,Mobile Back Cover,High,5185,Mobile Cover,Medium,183025,Designer Mobile Cover,Medium,185208,Printed Mobile Back Cover,Medium,179091,3D Mobile Covers,Medium
